-DOCSTART- -X- -X- O
the DT DT O
Act NNP NNP O
cannot NN NN O
be VB VB O
put VBN VBN O
on IN IN O
par NN NN O
to TO TO O
a DT DT O
suit NN NN O
for IN IN O
enforcement NN NN O
of IN IN O
a DT DT O
mortgage NN NN O
nor CC CC O
the DT DT O
order NN NN O
passed VBN VBN O
thereon NN NN O
under IN IN O
Section NN NN I-LC
32 CD CD I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
be VB VB O
put VBN VBN O
on IN IN O
par NN NN O
as IN IN O
if IN IN O
it PRP PRP O
was VBD VBD O
an DT DT O
order NN NN O
in IN IN O
a DT DT O
suit NN NN O
between IN IN O
a DT DT O
mortgagee NN NN O
and CC CC O
the DT DT O
mortgagor NN NN O
for IN IN O
sale NN NN O
of IN IN O
mortgaged VBN VBN O
property NN NN O
. . . O
On IN IN O
the DT DT O
other JJ JJ O
hand NN NN O
the DT DT O
substantive JJ JJ O
relief NN NN O
in IN IN O
an DT DT O
application NN NN O
Section NN NN O
31(1 CD CD O
) ) ) O
is VBZ VBZ O
something NN NN O
akin IN IN O
to TO TO O
an DT DT O
application NN NN O
for IN IN O
attachment NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
at IN IN O
a DT DT O

par NN NN O
as IN IN O
if IN IN O
it PRP PRP O
was VBD VBD O
an DT DT O
order NN NN O
in IN IN O
a DT DT O
suit NN NN O
between IN IN O
a DT DT O
mortgagee NN NN O
and CC CC O
the DT DT O
mortgagor NN NN O
for IN IN O
sale NN NN O
of IN IN O
mortgaged VBN VBN O
property NN NN O
. . . O
On IN IN O
the DT DT O
other JJ JJ O
hand NN NN O
the DT DT O
substantive JJ JJ O
relief NN NN O
in IN IN O
an DT DT O
application NN NN O
Section NN NN O
31(1 CD CD O
) ) ) O
is VBZ VBZ O
something NN NN O
akin IN IN O
to TO TO O
an DT DT O
application NN NN O
for IN IN O
attachment NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
at IN IN O
a DT DT O
stage NN NN O
posterior NN NN O
to TO TO O
the DT DT O
passing NN NN O
of IN IN O
the DT DT O
decree NN NN O
. . . O
' POS POS O
( ( ( O
p NN NN O
. . . O
710 CD CD O
) ) ) O
The DT DT O
question NN NN O
whether IN IN O
the DT DT O
provisions NNS NNS O
of IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
could MD MD O
be VB VB O
invoked VBN VBN O
against IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
came VBD VBD O
up RP RP O
for IN IN O
consideration NN NN O
before IN IN O
a DT DT O
Full NNP NNP O
Bench NNP NNP O
of IN IN O
the DT DT O
Allahabad NNP NNP I-CC
High NNP NNP I-CC
Court NNP NNP I-CC
in IN IN I-CC
Munnalal NNP NNP I-CC
Gupta NNP NNP I-CC
v NN NN I-CC
. . . I-CC
Uttar NNP NNP I-CC

stage NN NN O
posterior NN NN O
to TO TO O
the DT DT O
passing NN NN O
of IN IN O
the DT DT O
decree NN NN O
. . . O
' POS POS O
( ( ( O
p NN NN O
. . . O
710 CD CD O
) ) ) O
The DT DT O
question NN NN O
whether IN IN O
the DT DT O
provisions NNS NNS O
of IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
could MD MD O
be VB VB O
invoked VBN VBN O
against IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
came VBD VBD O
up RP RP O
for IN IN O
consideration NN NN O
before IN IN O
a DT DT O
Full NNP NNP O
Bench NNP NNP O
of IN IN O
the DT DT O
Allahabad NNP NNP O
High NNP NNP O
Court NNP NNP O
in IN IN O
Munnalal NNP NNP I-CC
Gupta NNP NNP I-CC
v NN NN I-CC
. . . I-CC
Uttar NNP NNP I-CC
Pradesh NNP NNP I-CC
Financial NNP NNP I-CC
Corporation NNP NNP I-CC
AIR NNP NNP O
1975 CD CD O
All DT DT O
416 CD CD O
. . . O
In IN IN O
that DT DT O
case NN NN O
the DT DT O
surety NN NN O
had VBD VBD O
mortgaged VBN VBN O
his PRP$ PRP$ O
house NN NN O
by IN IN O
way NN NN O
of IN IN O
collateral NN NN O
security NN NN O
for IN IN O
the DT DT O
loan NN NN O
granted VBD VBD O
to TO TO O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
and CC CC O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
had VBD VBD O
moved VBN VBN O
an DT DT O
application NN NN O
under IN IN O
S NNP NNP O
. . . O
31 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
for IN IN O
sale NN NN O
of IN IN O
the DT DT O
property NN NN O
of IN IN O

Pradesh NNP NNP O
Financial NNP NNP O
Corporation NNP NNP O
AIR NNP NNP O
1975 CD CD O
All DT DT O
416 CD CD O
. . . O
In IN IN O
that DT DT O
case NN NN O
the DT DT O
surety NN NN O
had VBD VBD O
mortgaged VBN VBN O
his PRP$ PRP$ O
house NN NN O
by IN IN O
way NN NN O
of IN IN O
collateral NN NN O
security NN NN O
for IN IN O
the DT DT O
loan NN NN O
granted VBD VBD O
to TO TO O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
and CC CC O
the DT DT O
Financial NNP NNP O
Corporation NNP NNP O
had VBD VBD O
moved VBN VBN O
an DT DT O
application NN NN O
under IN IN O
S NNP NNP O
. . . O
31 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
for IN IN O
sale NN NN O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
which WDT WDT O
had VBD VBD O
been VBN VBN O
mortgaged VBN VBN O
as RB RB O
well RB RB O
as IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
principal JJ JJ O
debtor NN NN O
which WDT WDT O
had VBD VBD O
been VBN VBN O
mortgaged VBN VBN O
and CC CC O
the DT DT O
question NN NN O
was VBD VBD O
whether IN IN O
an DT DT O
order NN NN O
for IN IN O
sale NN NN O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
on IN IN O
an DT DT O
application NN NN O
under IN IN O
S.31 NNP NNP I-LC
( ( ( I-LC
1 CD CD I-LC
) ) ) I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
. . . O
It PRP PRP O
was VBD VBD O
held VBN VBN O
that IN IN O

the DT DT O
surety NN NN O
which WDT WDT O
had VBD VBD O
been VBN VBN O
mortgaged VBN VBN O
as RB RB O
well RB RB O
as IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
principal JJ JJ O
debtor NN NN O
which WDT WDT O
had VBD VBD O
been VBN VBN O
mortgaged VBN VBN O
and CC CC O
the DT DT O
question NN NN O
was VBD VBD O
whether IN IN O
an DT DT O
order NN NN O
for IN IN O
sale NN NN O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
could MD MD O
be VB VB O
passed VBN VBN O
on IN IN O
an DT DT O
application NN NN O
under IN IN O
S.31 NNP NNP I-LC
( ( ( I-LC
1 CD CD I-LC
) ) ) I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
. . . O
It PRP PRP O
was VBD VBD O
held VBN VBN O
that IN IN O
the DT DT O
relief NN NN O
which WDT WDT O
can MD MD O
be VB VB O
granted VBN VBN O
by IN IN O
a DT DT O
district NN NN O
Judge NNP NNP O
under IN IN O
S.32 NNP NNP I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP O
must MD MD O
be VB VB O
confined VBN VBN O
against IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
and CC CC O
its PRP$ PRP$ O
property NN NN O
and CC CC O
that IN IN O
the DT DT O
district NN NN O
Judge NNP NNP O
can MD MD O
pass VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
attaching VBG VBG O
the DT DT O
security NN NN O
or CC CC O
so RB RB O
much JJ JJ O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O

the DT DT O
relief NN NN O
which WDT WDT O
can MD MD O
be VB VB O
granted VBN VBN O
by IN IN O
a DT DT O
district NN NN O
Judge NNP NNP O
under IN IN O
S.32 NNP NNP I-LC
of IN IN I-LC
the DT DT I-LC
Act NNP NNP I-LC
must MD MD O
be VB VB O
confined VBN VBN O
against IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
and CC CC O
its PRP$ PRP$ O
property NN NN O
and CC CC O
that IN IN O
the DT DT O
district NN NN O
Judge NNP NNP O
can MD MD O
pass VB VB O
an DT DT O
ad NN NN O
interim JJ JJ O
order NN NN O
attaching VBG VBG O
the DT DT O
security NN NN O
or CC CC O
so RB RB O
much JJ JJ O
of IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
as IN IN O
would MD MD O
be VB VB O
sufficient JJ JJ O
in IN IN O
his PRP$ PRP$ O
opinion NN NN O
to TO TO O
satisfy VB VB O
the DT DT O
outstanding JJ JJ O
liability NN NN O
. . . O
It PRP PRP O
was VBD VBD O
laid VBN VBN O
down RB RB O
that IN IN O
the DT DT O
order NN NN O
of IN IN O
attachment NN NN O
is VBZ VBZ O
restricted VBN VBN O
to TO TO O
the DT DT O
property NN NN O
of IN IN O
industrial JJ JJ O
concern NN NN O
given VBN VBN O
to TO TO O
the DT DT O
Corporation NNP NNP O
by IN IN O
way NN NN O
of IN IN O
surety NN NN O
and CC CC O
he PRP PRP O
is VBZ VBZ O
not RB RB O
empowered VBN VBN O
to TO TO O
attach VB VB O
the DT DT O
property NN NN O
of IN IN O
a DT DT O
person NN NN O
other JJ JJ O

as IN IN O
would MD MD O
be VB VB O
sufficient JJ JJ O
in IN IN O
his PRP$ PRP$ O
opinion NN NN O
to TO TO O
satisfy VB VB O
the DT DT O
outstanding JJ JJ O
liability NN NN O
. . . O
It PRP PRP O
was VBD VBD O
laid VBN VBN O
down RB RB O
that IN IN O
the DT DT O
order NN NN O
of IN IN O
attachment NN NN O
is VBZ VBZ O
restricted VBN VBN O
to TO TO O
the DT DT O
property NN NN O
of IN IN O
industrial JJ JJ O
concern NN NN O
given VBN VBN O
to TO TO O
the DT DT O
Corporation NNP NNP O
by IN IN O
way NN NN O
of IN IN O
surety NN NN O
and CC CC O
he PRP PRP O
is VBZ VBZ O
not RB RB O
empowered VBN VBN O
to TO TO O
attach VB VB O
the DT DT O
property NN NN O
of IN IN O
a DT DT O
person NN NN O
other JJ JJ O
than IN IN O
an DT DT O
industrial JJ JJ O
concern NN NN O
. . . O
According VBG VBG O
to TO TO O
the DT DT O
said VBD VBD O
decision NN NN O
a DT DT O
surety NN NN O
who WP WP O
is VBZ VBZ O
not RB RB O
a DT DT O
partner NN NN O
or CC CC O
otherwise RB RB O
interested JJ JJ O
in IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
cannot NN NN O
be VB VB O
proceeded VBN VBN O
against IN IN O
under IN IN O
S.31 NNP NNP I-LC
so IN IN O
that IN IN O
his PRP$ PRP$ O
property NN NN O
even RB RB O
if IN IN O
mortgaged VBN VBN O
with IN IN O
the DT DT O
Corporation NNP NNP O
cannot NN NN O
be VB VB O
attached VBN VBN O
by IN IN O
the DT DT O
district NN NN O
Judge NNP NNP O
In IN IN O
this DT DT O
context NN NN O
the DT DT O

than IN IN O
an DT DT O
industrial JJ JJ O
concern NN NN O
. . . O
According VBG VBG O
to TO TO O
the DT DT O
said VBD VBD O
decision NN NN O
a DT DT O
surety NN NN O
who WP WP O
is VBZ VBZ O
not RB RB O
a DT DT O
partner NN NN O
or CC CC O
otherwise RB RB O
interested JJ JJ O
in IN IN O
the DT DT O
industrial JJ JJ O
concern NN NN O
cannot NN NN O
be VB VB O
proceeded VBN VBN O
against IN IN O
under IN IN O
S.31 NNP NNP I-LC
so IN IN O
that IN IN O
his PRP$ PRP$ O
property NN NN O
even RB RB O
if IN IN O
mortgaged VBN VBN O
with IN IN O
the DT DT O
Corporation NNP NNP O
cannot NN NN O
be VB VB O
attached VBN VBN O
by IN IN O
the DT DT O
district NN NN O
Judge NNP NNP O
In IN IN O
this DT DT O
context NN NN O
the DT DT O
learned JJ JJ O
Judges NNPS NNPS O
pointed VBD VBD O
out RP RP O
that IN IN O
subsection NN NN O
( ( ( O
4 CD CD O
) ) ) O
of IN IN O
S.32 NNP NNP I-LC
contemplates VBZ VBZ O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
after IN IN O
an DT DT O
interim JJ JJ O
order NN NN O
has VBZ VBZ O
been VBN VBN O
passed VBN VBN O
to TO TO O
show VB VB O
cause NN NN O
why WRB WRB O
the DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
should MD MD O
not RB RB O
be VB VB O
made VBN VBN O
absolute JJ JJ O
and CC CC O
the DT DT O
said VBD VBD O
provision NN NN O
does VBZ VBZ O
not RB RB O
contemplate VB VB O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
surety NN NN O
and CC CC O

learned VBD VBD O
Judges NNPS NNPS O
pointed VBD VBD O
out RP RP O
that IN IN O
subsection NN NN O
( ( ( O
4 CD CD O
) ) ) O
of IN IN O
S.32 NNP NNP I-LC
contemplates VBZ VBZ O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
after IN IN O
an DT DT O
interim JJ JJ O
order NN NN O
has VBZ VBZ O
been VBN VBN O
passed VBN VBN O
to TO TO O
show VB VB O
cause NN NN O
why WRB WRB O
the DT DT O
ad NN NN O
interim JJ JJ O
injunction NN NN O
should MD MD O
not RB RB O
be VB VB O
made VBN VBN O
absolute JJ JJ O
and CC CC O
the DT DT O
said VBD VBD O
provision NN NN O
does VBZ VBZ O
not RB RB O
contemplate VB VB O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
surety NN NN O
and CC CC O
that IN IN O
it PRP PRP O
would MD MD O
be VB VB O
unthinkable JJ JJ O
that IN IN O
the DT DT O
legislature NN NN O
intended VBD VBD O
that IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
may MD MD O
be VB VB O
attached VBN VBN O
and CC CC O
put VBN VBN O
to TO TO O
sale NN NN O
without IN IN O
even RB RB O
a DT DT O
notice NN NN O
to TO TO O
him PRP PRP O
. . . O
40 CD CD O
. . . O
The DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
seek NN NN O
to TO TO O
remove VB VB O
the DT DT O
lacunae NN NN O
in IN IN O
those DT DT O
provisions NNS NNS O

that IN IN O
it PRP PRP O
would MD MD O
be VB VB O
unthinkable JJ JJ O
that IN IN O
the DT DT O
legislature NN NN O
intended VBD VBD O
that IN IN O
the DT DT O
property NN NN O
of IN IN O
the DT DT O
surety NN NN O
may MD MD O
be VB VB O
attached VBN VBN O
and CC CC O
put VBN VBN O
to TO TO O
sale NN NN O
without IN IN O
even RB RB O
a DT DT O
notice NN NN O
to TO TO O
him PRP PRP O
. . . O
40 CD CD O
. . . O
The DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
seek NN NN O
to TO TO O
remove VB VB O
the DT DT O
lacunae NN NN O
in IN IN O
those DT DT O
provisions NNS NNS O
as RB RB O
pointed VBN VBN O
out IN IN O
in IN IN O
the DT DT O
aforesaid JJ JJ O
judgment NN NN O
of IN IN O
the DT DT O
Allahabad NNP NNP O
High NNP NNP O
Court NNP NNP O
and CC CC O
with IN IN O
that DT DT O
end NN NN O
in IN IN O
view NN NN O
Clause NN NN O
( ( ( O
aa NN NN O
) ) ) O
has VBZ VBZ O
been VBN VBN O
inserted VBN VBN O
in IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
whereby NN NN O
a DT DT O
Financial NNP NNP O
Corporation NNP NNP O
can MD MD O
move VB VB O
an DT DT O
application NN NN O
under IN IN O
S.31(1 NNP NNP I-LC
) ) ) I-LC
for IN IN O
enforcing VBG VBG O
the DT DT O
liability NN NN O
of IN IN O
any DT DT O
surety NN NN O
and CC CC O
amendments NNS NNS O
have VBP VBP O
been VBN VBN O

as IN IN O
pointed VBN VBN O
out IN IN O
in IN IN O
the DT DT O
aforesaid JJ JJ O
judgment NN NN O
of IN IN O
the DT DT O
Allahabad NNP NNP O
High NNP NNP O
Court NNP NNP O
and CC CC O
with IN IN O
that DT DT O
end NN NN O
in IN IN O
view NN NN O
Clause NN NN O
( ( ( O
aa NN NN O
) ) ) O
has VBZ VBZ O
been VBN VBN O
inserted VBN VBN O
in IN IN O
sub-section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN I-LC
31 CD CD I-LC
whereby NN NN O
a DT DT O
Financial NNP NNP O
Corporation NNP NNP O
can MD MD O
move VB VB O
an DT DT O
application NN NN O
under IN IN O
S.31(1 NNP NNP I-LC
) ) ) I-LC
for IN IN O
enforcing VBG VBG O
the DT DT O
liability NN NN O
of IN IN O
any DT DT O
surety NN NN O
and CC CC O
amendments NNS NNS O
have VBP VBP O
been VBN VBN O
made VBN VBN O
in IN IN O
S.32 NNP NNP I-LC
to TO TO O
prescribe VB VB O
the DT DT O
procedure NN NN O
for IN IN O
grant NN NN O
of IN IN O
the DT DT O
said VBD VBD O
relief NN NN O
on IN IN O
such JJ JJ O
application NN NN O
. . . O
Express NNP NNP O
provision NN NN O
has VBZ VBZ O
been VBN VBN O
made VBN VBN O
in IN IN O
sub-section NN NN O
( ( ( O
1A CD CD O
) ) ) O
of IN IN O
S NNP NNP O
. . . O
32 CD CD O
for IN IN O
issuing VBG VBG O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
surety NN NN O
requiring VBG VBG O
him PRP PRP O
to TO TO O
show VB VB O
cause NN NN O
why WRB WRB O
his PRP$ PRP$ O
liability NN NN O
should MD MD O
not RB RB O
be VB VB O
enforced VBN VBN O
. . . O
It PRP PRP O
is VBZ VBZ O
argued VBN VBN O
on IN IN O

made VBN VBN O
in IN IN O
S.32 NNP NNP I-LC
to TO TO O
prescribe VB VB O
the DT DT O
procedure NN NN O
for IN IN O
grant NN NN O
of IN IN O
the DT DT O
said VBD VBD O
relief NN NN O
on IN IN O
such JJ JJ O
application NN NN O
. . . O
Express NNP NNP O
provision NN NN O
has VBZ VBZ O
been VBN VBN O
made VBN VBN O
in IN IN O
sub-section NN NN O
( ( ( O
1A CD CD O
) ) ) O
of IN IN O
S NNP NNP O
. . . O
32 CD CD O
for IN IN O
issuing VBG VBG O
a DT DT O
notice NN NN O
to TO TO O
the DT DT O
surety NN NN O
requiring VBG VBG O
him PRP PRP O
to TO TO O
show VB VB O
cause NN NN O
why WRB WRB O
his PRP$ PRP$ O
liability NN NN O
should MD MD O
not RB RB O
be VB VB O
enforced VBN VBN O
. . . O
It PRP PRP O
is VBZ VBZ O
argued VBN VBN O
on IN IN O
behalf NN NN O
of IN IN O
the DT DT O
appellant NN NN O
that IN IN O
the DT DT O
words NNS NNS O
' POS POS O
for IN IN O
enforcing VBG VBG O
the DT DT O
liability NN NN O
of IN IN O
any DT DT O
surety NN NN O
' '' '' O
are VBP VBP O
wide JJ JJ O
in IN IN O
their PRP$ PRP$ O
amplitude NN NN O
to TO TO O
cover VB VB O
the DT DT O
monetary JJ JJ O
liability NN NN O
of IN IN O
a DT DT O
surety NN NN O
who WP WP O
has VBZ VBZ O
given VBN VBN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
and CC CC O
has VBZ VBZ O
not RB RB O
given VBN VBN O
his PRP$ PRP$ O
property NN NN O
as IN IN O
security NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
loan NN NN O
by IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O

behalf NN NN O
of IN IN O
the DT DT O
appellant NN NN O
that IN IN O
the DT DT O
words NNS NNS O
' POS POS O
for IN IN O
enforcing VBG VBG O
the DT DT O
liability NN NN O
of IN IN O
any DT DT O
surety NN NN O
' '' '' O
are VBP VBP O
wide JJ JJ O
in IN IN O
their PRP$ PRP$ O
amplitude NN NN O
to TO TO O
cover VB VB O
the DT DT O
monetary JJ JJ O
liability NN NN O
of IN IN O
a DT DT O
surety NN NN O
who WP WP O
has VBZ VBZ O
given VBN VBN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
and CC CC O
has VBZ VBZ O
not RB RB O
given VBN VBN O
his PRP$ PRP$ O
property NN NN O
as IN IN O
security NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
loan NN NN O
by IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
though IN IN O
it PRP PRP O
is VBZ VBZ O
not RB RB O
disputed VBN VBN O
that IN IN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
is VBZ VBZ O
concerned VBN VBN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
do VBP VBP O
not RB RB O
alter VB VB O
the DT DT O
existing VBG VBG O
law NN NN O
and CC CC O
no DT DT O
order NN NN O
in IN IN O
the DT DT O
nature NN NN O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
can MD MD O
be VB VB O
passed VBN VBN O
against IN IN O

concern NN NN O
though IN IN O
it PRP PRP O
is VBZ VBZ O
not RB RB O
disputed VBN VBN O
that IN IN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
is VBZ VBZ O
concerned VBN VBN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
do VBP VBP O
not RB RB O
alter VB VB O
the DT DT O
existing VBG VBG O
law NN NN O
and CC CC O
no DT DT O
order NN NN O
in IN IN O
the DT DT O
nature NN NN O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
can MD MD O
be VB VB O
passed VBN VBN O
against IN IN O
him PRP PRP O
in IN IN O
these DT DT O
proceedings NNS NNS O
. . . O
It PRP PRP O
is VBZ VBZ O
however RB RB O
urged JJ JJ O
that IN IN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
the DT DT O
surety NN NN O
is VBZ VBZ O
concerned VBN VBN O
the DT DT O
position NN NN O
is VBZ VBZ O
different JJ JJ O
and CC CC O
in IN IN O
view NN NN O
of IN IN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
an DT DT O
order NN NN O
in IN IN O
the DT DT O
nature NN NN O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
can MD MD O
be VB VB O
passed VBN VBN O
against IN IN O
the DT DT O
surety NN NN O
who WP WP O
has VBZ VBZ O

him PRP PRP O
in IN IN O
these DT DT O
proceedings NNS NNS O
. . . O
It PRP PRP O
is VBZ VBZ O
however RB RB O
urged JJ JJ O
that IN IN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
the DT DT O
surety NN NN O
is VBZ VBZ O
concerned VBN VBN O
the DT DT O
position NN NN O
is VBZ VBZ O
different JJ JJ O
and CC CC O
in IN IN O
view NN NN O
of IN IN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Ss NNP NNP O
. . . O
31 CD CD O
and CC CC O
32 CD CD O
an DT DT O
order NN NN O
in IN IN O
the DT DT O
nature NN NN O
of IN IN O
a DT DT O
money NN NN O
decree NN NN O
can MD MD O
be VB VB O
passed VBN VBN O
against IN IN O
the DT DT O
surety NN NN O
who WP WP O
has VBZ VBZ O
given VBN VBN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
and CC CC O
has VBZ VBZ O
not RB RB O
given VBN VBN O
security NN NN O
of IN IN O
his PRP$ PRP$ O
property NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
loan NN NN O
. . . O
This DT DT O
argument NN NN O
implies NNS NNS O
that WDT WDT O
as IN IN O
a DT DT O
result NN NN O
of IN IN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Sections NNP NNP O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
while IN IN O
the DT DT O
nature NN NN O
of IN IN O
the DT DT O
proceedings NNS NNS O
as IN IN O
against IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O

given VBN VBN O
personal JJ JJ O
guarantee NN NN O
only RB RB O
and CC CC O
has VBZ VBZ O
not RB RB O
given VBN VBN O
security NN NN O
of IN IN O
his PRP$ PRP$ O
property NN NN O
for IN IN O
repayment NN NN O
of IN IN O
the DT DT O
loan NN NN O
. . . O
This DT DT O
argument NN NN O
implies NNS NNS O
that WDT WDT O
as IN IN O
a DT DT O
result NN NN O
of IN IN O
the DT DT O
amendments NNS NNS O
introduced VBN VBN O
in IN IN O
Sections NNP NNP O
31 CD CD O
and CC CC O
32 CD CD O
by IN IN O
Act NNP NNP O
43 CD CD O
of IN IN O
1985 CD CD O
while IN IN O
the DT DT O
nature NN NN O
of IN IN O
the DT DT O
proceedings NNS NNS O
as IN IN O
against IN IN O
the DT DT O
borrower NN NN O
industrial JJ JJ O
concern NN NN O
remains NNS NNS O
unchanged JJ JJ O
and CC CC O
the DT DT O
said VBD VBD O
proceedings NNS NNS O
continue VBP VBP O
to TO TO O
be VB VB O
proceedings NNS NNS O
akin NN NN O
to TO TO O
an DT DT O
application NN NN O
for IN IN O
attachment NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
at IN IN O
a DT DT O
stage NN NN O
posterior NN NN O
to TO TO O
the DT DT O
passing NN NN O
of IN IN O
the DT DT O
decree NN NN O
the DT DT O
nature NN NN O
of IN IN O
these DT DT O
proceedings NNS NNS O
has VBZ VBZ O
been VBN VBN O
changed VBN VBN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
the DT DT O
surety NN NN O
is VBZ VBZ O
concerned VBN VBN O
and CC CC O

remains NNS NNS O
unchanged JJ JJ O
and CC CC O
the DT DT O
said VBD VBD O
proceedings NNS NNS O
continue VBP VBP O
to TO TO O
be VB VB O
proceedings NNS NNS O
akin NN NN O
to TO TO O
an DT DT O
application NN NN O
for IN IN O
attachment NN NN O
of IN IN O
property NN NN O
in IN IN O
execution NN NN O
of IN IN O
a DT DT O
decree NN NN O
at IN IN O
a DT DT O
stage NN NN O
posterior NN NN O
to TO TO O
the DT DT O
passing NN NN O
of IN IN O
the DT DT O
decree NN NN O
the DT DT O
nature NN NN O
of IN IN O
these DT DT O
proceedings NNS NNS O
has VBZ VBZ O
been VBN VBN O
changed VBN VBN O
in IN IN O
so RB RB O
far RB RB O
as IN IN O
